timestamp,signal_timestamp,entry_timestamp,exit_timestamp,signal,direction,score,reasons,entry,exit,pnl,outcome,duration_bars,duration_minutes,mfe_r,mae_r,rr_realized,rr_model,exit_reason,drawdown,volume_z,delta_z,cvd_slope_z,cvd_condition,delta_condition,buy_sell_ratio,big_trade,vwap,distance_to_poc,absorption,absorption_score,target_price,target_r
2026-03-01 02:00:00+00:00,2026-03-01 02:00:00+00:00,2026-03-01 02:05:00+00:00,2026-03-01 02:05:00+00:00,LONG,LONG,4.25,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'above_vwap']",67991.0,67821.0225,-49.99999999999812,LOSS,1,1.0,0.5353649747760734,2.076745451603889,-0.9999999999999624,0.75,stop_loss,0.4999999999999818,2.6787496418473773,2.5486969794164747,2.3443438081131505,UP,BUY,1.6585883218873945,False,67020.8535345461,0.014475292603574821,NONE,0.0,68118.483125,0.75
2026-03-01 06:05:00+00:00,2026-03-01 06:05:00+00:00,2026-03-01 06:10:00+00:00,2026-03-01 06:10:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",67080.6,66954.823875,37.31250000000118,WIN,1,1.0,1.1484691550165371,0.10435207794802073,0.7500000000000236,0.75,take_profit,0.4999999999999818,3.364546923956765,-3.180717027456477,-2.6388439547692557,DOWN,SELL,0.39459802012286693,False,67290.70765587836,-0.006592027811863395,NONE,0.0,66954.823875,0.75
2026-03-01 08:50:00+00:00,2026-03-01 08:50:00+00:00,2026-03-01 08:55:00+00:00,2026-03-01 09:00:00+00:00,SHORT,SHORT,-3.5,"['delta_strong_negative', 'cvd_strong_negative', 'below_vwap']",66487.1,66653.31775,-49.93656249999886,LOSS,2,5.0,0.9782348756375646,1.0859249388227188,-0.9999999999999767,0.75,stop_loss,0.6262406249999549,4.098518759744508,-3.4137022576866864,-3.193933698013648,DOWN,SELL,0.7231534386289661,False,67220.70996326448,-0.008304355657138556,NONE,0.0,66362.43668750001,0.75
2026-03-01 11:05:00+00:00,2026-03-01 11:05:00+00:00,2026-03-01 11:10:00+00:00,2026-03-01 11:15:00+00:00,LONG,LONG,4.25,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'big_trade_buy']",66484.7,66609.3588125,37.26515976562443,WIN,2,5.0,0.9223174655221602,0.16003682050150647,0.7499999999999881,0.75,take_profit,0.6262406249999549,0.23305575905152684,2.832697949409894,3.500560028688794,UP,BUY,5.437083110817914,True,67102.96873593489,-0.002549092966593908,NONE,0.0,66609.3588125,0.75
2026-03-01 13:20:00+00:00,2026-03-01 13:20:00+00:00,2026-03-01 13:25:00+00:00,2026-03-01 13:45:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",66203.2,66368.708,-49.87320548632864,LOSS,5,20.0,0.10875607221403194,1.0398288904464184,-1.0000000000000098,0.75,stop_loss,0.7523210822069996,3.3615905877259156,-3.4738453918338963,-2.7070478207100823,DOWN,SELL,0.5420331757399636,False,67050.74513744107,-0.0029688557330647476,NONE,0.0,66079.069,0.75
2026-03-01 16:45:00+00:00,2026-03-01 16:45:00+00:00,2026-03-01 16:50:00+00:00,2026-03-01 16:50:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",66061.5,65937.6346875,37.21787959417185,WIN,1,1.0,1.722637239541942,0.7253846794275207,0.7499999999999895,0.75,take_profit,0.7523210822069996,3.990801864239984,-3.9713582912850027,-3.292917822611765,DOWN,SELL,0.5682267346067772,False,66991.87368488095,-0.010614022181921328,NONE,0.0,65937.6346875,0.75
2026-03-01 22:10:00+00:00,2026-03-01 22:10:00+00:00,2026-03-01 22:15:00+00:00,2026-03-01 22:15:00+00:00,LONG,LONG,3.75,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers']",65975.7,66099.4044375,37.35744664264958,WIN,1,1.0,1.1513329907830232,0.22856900343609599,0.7499999999999809,0.75,take_profit,0.7523210822069996,4.188693316899577,4.168387167769225,3.6064589584226474,UP,BUY,2.4323353027052037,False,66702.90430771872,0.0032982067047765294,NONE,0.0,66099.4044375,0.75
2026-03-02 02:05:00+00:00,2026-03-02 02:05:00+00:00,2026-03-02 02:10:00+00:00,2026-03-02 02:10:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",66145.8,66021.776625,37.49753706756176,WIN,1,1.0,1.8341300581442987,0.05140160070631846,0.750000000000026,0.75,take_profit,0.7523210822069996,1.3889618101113475,-2.68760251640343,-2.4798250539077293,DOWN,SELL,0.505231387185235,False,66427.61782093406,0.0019493101038703996,NONE,0.0,66021.776625,0.75
2026-03-02 06:15:00+00:00,2026-03-02 06:15:00+00:00,2026-03-02 06:20:00+00:00,2026-03-02 06:20:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",66197.1,66072.98043750001,37.638152831562714,WIN,1,1.0,1.1003503174610718,0.3450302203570323,0.7499999999999781,0.75,take_profit,0.7523210822069996,2.6777264120333357,-2.695365388213822,-2.423016609716881,DOWN,SELL,0.5758815220623557,False,66508.47325512764,-0.0064676136103467025,NONE,0.0,66072.98043750001,0.75
2026-03-02 07:05:00+00:00,2026-03-02 07:05:00+00:00,2026-03-02 07:10:00+00:00,2026-03-02 07:20:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",65634.1,65511.0360625,37.779295904683025,WIN,3,10.0,0.762408565059966,0.7624085650598774,0.7500000000000169,0.75,take_profit,0.7523210822069996,3.119176968371475,-3.174839322990238,-2.768083780261411,DOWN,SELL,0.5060266613593003,False,66444.91620208607,-0.013368763626247704,NONE,0.0,65511.0360625,0.75
2026-03-02 13:40:00+00:00,2026-03-02 13:40:00+00:00,2026-03-02 13:45:00+00:00,2026-03-02 13:50:00+00:00,SHORT,SHORT,-3.5,"['delta_strong_negative', 'cvd_strong_negative', 'below_vwap']",65561.1,65438.17293750001,37.92096826432443,WIN,2,5.0,1.4716043507507002,0.33190413217590414,0.7499999999999938,0.75,take_profit,0.7523210822069996,2.926261057270046,-2.3779575816743312,-3.379491546908265,DOWN,SELL,0.6883840623517163,False,66250.1407395525,-0.007400784665004114,NONE,0.0,65438.17293750001,0.75
2026-03-02 14:30:00+00:00,2026-03-02 14:30:00+00:00,2026-03-02 14:35:00+00:00,2026-03-02 14:35:00+00:00,LONG,LONG,4.25,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'above_vwap']",66222.2,66056.6445,-50.750895860421956,LOSS,1,1.0,1.167584284424274,1.157315824602573,-1.0000000000000133,0.75,stop_loss,0.7523210822069996,3.9340053129047656,3.987386900818737,3.088444133215103,UP,BUY,1.6677317314429378,False,66172.98919900067,0.0054062847659738155,NONE,0.0,66346.366625,0.75
2026-03-02 15:05:00+00:00,2026-03-02 15:05:00+00:00,2026-03-02 15:10:00+00:00,2026-03-02 15:10:00+00:00,LONG,LONG,4.75,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'big_trade_buy', 'above_vwap']",67701.1,67828.03956250001,37.87285603584038,WIN,1,1.0,4.400519341635444,0.041358264489055566,0.7500000000000198,0.75,take_profit,0.7523210822069996,1.9237740356513973,2.811768786406744,2.161104849304102,UP,BUY,1.7964996331872216,True,66331.54428495583,0.02017566190358344,NONE,0.0,67828.03956250001,0.75
2026-03-02 23:40:00+00:00,2026-03-02 23:40:00+00:00,2026-03-02 23:45:00+00:00,2026-03-03 00:00:00+00:00,SHORT,SHORT,-3.75,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers']",68763.4,68935.3085,-50.68650566129985,LOSS,4,15.0,0.3688008446353391,1.161664490121266,-1.000000000000029,0.75,stop_loss,0.7523210822069996,0.2850335397224457,-2.1934655868198787,-2.014897109311573,DOWN,SELL,0.48707613162269836,False,67771.54094565856,-0.004958619964408724,NONE,0.0,68634.468625,0.75
2026-03-03 02:00:00+00:00,2026-03-03 02:00:00+00:00,2026-03-03 02:05:00+00:00,2026-03-03 02:20:00+00:00,SHORT,SHORT,-4.75,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'big_trade_sell', 'below_vwap']",68547.5,68418.9734375,37.82480484974476,WIN,4,15.0,2.3656588497027267,0.7288376673109548,0.750000000000017,0.75,take_profit,0.7523210822069996,3.9977876413555427,-3.1724024094729417,-2.670954935282671,DOWN,SELL,0.6345537122236725,True,68853.76706793802,-0.006114353568050972,NONE,0.0,68418.9734375,0.75
2026-03-03 04:45:00+00:00,2026-03-03 04:45:00+00:00,2026-03-03 04:50:00+00:00,2026-03-03 05:05:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",68067.9,68238.06975,-50.62219715724087,LOSS,4,15.0,0.39313685305404855,1.4426770915512306,-1.0000000000000056,0.75,stop_loss,0.7523210822070532,3.5686150017450946,-3.7895065196470634,-3.6244438063378444,DOWN,SELL,0.39929123247369125,False,68588.49484077079,-0.006598701648280231,NONE,0.0,67940.2726875,0.75
2026-03-03 05:45:00+00:00,2026-03-03 05:45:00+00:00,2026-03-03 05:50:00+00:00,2026-03-03 06:00:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",67835.5,68005.08875,-50.369086171453006,LOSS,3,10.0,0.20343330557009234,1.0342667187534207,-0.9999999999999726,0.75,stop_loss,1.2485594767960053,2.635208144719467,-3.014777355409091,-2.1354861776007716,DOWN,SELL,0.3974543535210573,False,68494.18648225299,-0.007211191099248532,NONE,0.0,67708.3084375,0.75
2026-03-03 08:40:00+00:00,2026-03-03 08:40:00+00:00,2026-03-03 08:45:00+00:00,2026-03-03 08:45:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",67310.1,67183.8935625,37.587930555449184,WIN,1,1.0,1.308570333426999,0.11112745338365022,0.7500000000000269,0.75,take_profit,1.2485594767960053,2.9414647293149176,-3.467243950628078,-2.7384300014812175,DOWN,SELL,0.5965709828059474,False,68235.66167847127,-0.00936096362573615,NONE,0.0,67183.8935625,0.75
2026-03-03 23:10:00+00:00,2026-03-03 23:10:00+00:00,2026-03-03 23:15:00+00:00,2026-03-03 23:15:00+00:00,LONG,LONG,4.25,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'above_vwap']",68653.0,68481.3675,-50.305180393376425,LOSS,1,1.0,0.19809767963526723,1.0551614641749425,-1.0000000000000406,0.75,stop_loss,1.3738503669598143,3.7437853447753815,3.6483877926497965,2.649810473793949,UP,BUY,2.129354351896225,False,67682.25077826159,0.0047373481273241345,NONE,0.0,68781.724375,0.75
2026-03-04 01:30:00+00:00,2026-03-04 01:30:00+00:00,2026-03-04 01:35:00+00:00,2026-03-04 01:35:00+00:00,LONG,LONG,4.25,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'above_vwap']",68471.5,68599.8840625,37.540240868555955,WIN,1,1.0,1.1111192247869381,0.0,0.7500000000000068,0.75,take_profit,1.3738503669598143,3.46569340790925,3.3203464873297936,2.8039181984144603,UP,BUY,2.4723745372993022,False,68160.65934952511,0.0032804191957866075,NONE,0.0,68599.8840625,0.75
2026-03-04 03:30:00+00:00,2026-03-04 03:30:00+00:00,2026-03-04 03:35:00+00:00,2026-03-04 03:35:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",67500.1,67373.5373125,37.681016771813184,WIN,1,1.0,0.8894801637331251,0.8965912643091689,0.7500000000000095,0.75,take_profit,1.3738503669598143,3.970658104610324,-3.447387372690174,-2.847338718085972,DOWN,SELL,0.5828674221761861,False,68188.64686962537,-0.010236947004530884,NONE,0.0,67373.5373125,0.75
2026-03-04 07:40:00+00:00,2026-03-04 07:40:00+00:00,2026-03-04 07:45:00+00:00,2026-03-04 07:45:00+00:00,LONG,LONG,4.25,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'above_vwap']",68937.6,69066.85800000001,37.822320584707484,WIN,1,1.0,3.3903123984588284,0.537877732906348,0.7500000000000093,0.75,take_profit,1.3738503669598143,2.115717408984842,2.9053943272002205,2.945607799565145,UP,BUY,2.83010505774987,False,68124.46522577536,0.011969759994638226,NONE,0.0,69066.85800000001,0.75
2026-03-04 14:30:00+00:00,2026-03-04 14:30:00+00:00,2026-03-04 14:35:00+00:00,2026-03-04 14:35:00+00:00,LONG,LONG,4.75,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'big_trade_buy', 'above_vwap']",72398.0,72217.005,-50.61887238253158,LOSS,1,1.0,0.16685543799550864,3.917235282742617,-0.9999999999999744,0.75,stop_loss,1.3738503669598143,4.077589021369214,4.05046193075649,3.642551752220364,UP,BUY,1.778098107963113,True,70126.29910697897,0.014015785720459426,NONE,0.0,72533.74625,0.75
