timestamp,signal_timestamp,entry_timestamp,exit_timestamp,signal,direction,score,reasons,entry,exit,pnl,outcome,duration_bars,duration_minutes,mfe_r,mae_r,rr_realized,rr_model,exit_reason,drawdown,volume_z,delta_z,cvd_slope_z,cvd_condition,delta_condition,buy_sell_ratio,big_trade,vwap,distance_to_poc,target_price,target_r
2026-03-01 06:05:00+00:00,2026-03-01 06:05:00+00:00,2026-03-01 06:10:00+00:00,2026-03-01 08:10:00+00:00,SHORT,SHORT,-4.25,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",67080.6,67248.3015,-49.99999999999868,LOSS,25,125,1.9284264004794751,1.0721430637173093,-0.9999999999999736,2.0,stop_loss,0.4999999999999818,0.5638357030472512,-1.6326752501361967,-1.1293092498789026,DOWN,SELL,0.39459802012286693,False,67290.70765587836,-0.011357311985847706,66745.197,2.0
2026-03-01 07:10:00+00:00,2026-03-01 07:10:00+00:00,2026-03-01 07:15:00+00:00,2026-03-01 08:50:00+00:00,LONG,LONG,3.75,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",66986.1,66818.63475000001,-49.749999999998174,LOSS,20,100,1.7281197143884723,3.270529259055306,-0.999999999999963,2.0,stop_loss,0.9974999999999636,-0.025031582718197883,1.1091320161229017,0.9617453055126789,UP,BUY,1.8319399358935096,False,67256.32007649673,-0.007326706585396161,67321.03050000001,2.0
2026-03-01 07:35:00+00:00,2026-03-01 07:35:00+00:00,2026-03-01 07:40:00+00:00,2026-03-01 08:00:00+00:00,LONG,LONG,3.75,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",67153.9,66986.01525,-49.50124999999927,LOSS,5,25,0.28174089665680124,1.5415337009465622,-0.9999999999999848,2.0,stop_loss,1.492512499999957,0.9030799070931468,1.373386878935385,1.064039312088526,UP,BUY,1.6406495320748187,False,67251.48374476052,-0.004808164815201055,67489.66949999999,2.0
2026-03-01 07:50:00+00:00,2026-03-01 07:50:00+00:00,2026-03-01 07:55:00+00:00,2026-03-01 08:00:00+00:00,LONG,LONG,3.75,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",67096.2,66928.4595,-49.253743749999984,LOSS,2,10,0.3207335139695119,1.198875644224211,-0.9999999999999993,2.0,stop_loss,1.9850499374999524,-0.32751162464056416,1.1675410439121119,1.3804085028497792,UP,BUY,2.534940936294952,False,67249.50359314628,-0.005563458789828817,67431.681,2.0
2026-03-01 08:10:00+00:00,2026-03-01 08:10:00+00:00,2026-03-01 08:15:00+00:00,2026-03-01 08:45:00+00:00,LONG,LONG,3.75,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",67240.0,67071.9,-49.00747503125172,LOSS,7,35,0.21118381915526474,1.90422367638314,-1.0000000000000349,2.0,stop_loss,2.4751246878124764,0.40679710572300515,1.1097384439560156,0.9373954871049339,UP,BUY,1.7336452474574022,False,67245.91709653902,-0.0033943759583224087,67576.2,2.0
2026-03-01 08:50:00+00:00,2026-03-01 08:50:00+00:00,2026-03-01 08:55:00+00:00,2026-03-01 09:00:00+00:00,SHORT,SHORT,-3.0,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",66487.1,66653.31775,-48.76243765609264,LOSS,2,10,0.9782348756375646,1.0859249388227188,-0.9999999999999768,2.0,stop_loss,2.962749064373402,5.451156275993325,-2.7050733982854456,-1.2097751092920785,DOWN,SELL,0.7231534386289661,False,67220.70996326448,-0.009671840155781292,66154.6645,2.0
2026-03-01 11:00:00+00:00,2026-03-01 11:00:00+00:00,2026-03-01 11:05:00+00:00,2026-03-01 12:30:00+00:00,LONG,LONG,3.75,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""BELOW""}",66443.5,66277.39125,-48.51862546781312,LOSS,18,90,1.1709196535402258,1.2226929646993658,-0.9999999999999963,2.0,stop_loss,3.447935319051539,-0.5201834328951156,1.0637314445256498,1.1810480401508943,UP,BUY,2.7579070163710955,False,67106.64263178974,-0.0016831029370817064,66775.7175,2.0
2026-03-01 11:15:00+00:00,2026-03-01 11:15:00+00:00,2026-03-01 11:20:00+00:00,2026-03-01 11:30:00+00:00,LONG,LONG,3.75,"{""delta"":""BUY"",""cvd"":""UP"",""aggressive_flow"":""BUY"",""vwap"":""NO_CONFLUENCE"",""price_vs_poc"":""ABOVE""}",66557.2,66390.807,-48.276032340473186,LOSS,3,15,0.4315085370178007,1.0342983178378373,-0.9999999999999784,2.0,stop_loss,3.930695642456267,-0.08880309702959491,1.1952129668957696,1.9353453721594809,UP,BUY,2.1232702303475297,False,67099.58816841687,2.9579775622126376e-05,66889.98599999999,2.0
2026-03-01 13:20:00+00:00,2026-03-01 13:20:00+00:00,2026-03-01 13:25:00+00:00,2026-03-01 13:45:00+00:00,SHORT,SHORT,-3.75,"{""relative_volume"":""HIGH"",""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",66203.2,66368.708,-48.03465217877233,LOSS,5,25,0.10875607221403194,1.0398288904464184,-1.00000000000001,2.0,stop_loss,4.41104216424399,2.406787789786733,-2.8931260399269076,-1.1190623174817922,DOWN,SELL,0.5420331757399636,False,67050.74513744107,-0.00534905359702613,65872.184,2.0
2026-03-01 13:35:00+00:00,2026-03-01 13:35:00+00:00,2026-03-01 13:40:00+00:00,2026-03-01 13:50:00+00:00,SHORT,SHORT,-4.25,"{""delta"":""SELL"",""cvd"":""DOWN"",""aggressive_flow"":""SELL"",""vwap"":""SHORT_CONFLUENCE"",""price_vs_poc"":""BELOW""}",66253.0,66418.6325,-47.79447891788002,LOSS,3,15,0.0,6.52045945089279,-1.0000000000000422,2.0,stop_loss,4.8889869534227905,0.13063256360261333,-1.165425107822401,-1.2089792189849649,DOWN,SELL,0.5615615293991646,False,67042.37671082992,-0.004424058303950883,65921.735,2.0
