timestamp,signal_timestamp,entry_timestamp,exit_timestamp,signal,direction,score,reasons,entry,exit,pnl,outcome,duration_bars,duration_minutes,mfe_r,mae_r,rr_realized,rr_model,exit_reason,drawdown,volume_z,delta_z,cvd_slope_z,cvd_condition,delta_condition,buy_sell_ratio,big_trade,vwap,distance_to_poc,absorption,absorption_score,target_price,target_r,partial_taken,partial_size_pct,be_triggered,trailing_activated,structure_target
2026-03-01 02:00:00+00:00,2026-03-01 02:00:00+00:00,2026-03-01 02:05:00+00:00,2026-03-01 02:05:00+00:00,LONG,LONG,4.25,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'above_vwap']",67991.0,67821.0225,-49.99999999999812,LOSS,1,1.0,0.5353649747760734,2.076745451603889,-0.9999999999999624,dynamic_structure,stop_loss,0.4999999999999818,2.6787496418473773,2.5486969794164747,2.3443438081131505,UP,BUY,1.6585883218873945,False,67020.8535345461,0.014475292603574821,NONE,0.0,68160.9775,0.9999999999999624,False,50.0,False,False,68160.9775
2026-03-01 06:05:00+00:00,2026-03-01 06:05:00+00:00,2026-03-01 06:10:00+00:00,2026-03-01 06:10:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",67080.6,67080.6,0.0,LOSS,1,1.0,1.1484691550165371,0.10435207794802073,0.0,dynamic_structure,trailing_stop,0.4999999999999818,3.364546923956765,-3.180717027456477,-2.6388439547692557,DOWN,SELL,0.39459802012286693,False,67290.70765587836,-0.006592027811863395,NONE,0.0,66996.74925000001,0.5,False,50.0,True,True,67017.4
2026-03-01 08:50:00+00:00,2026-03-01 08:50:00+00:00,2026-03-01 08:55:00+00:00,2026-03-01 09:00:00+00:00,SHORT,SHORT,-3.5,"['delta_strong_negative', 'cvd_strong_negative', 'below_vwap']",66487.1,66653.31775,-49.74999999999885,LOSS,2,5.0,0.9782348756375646,1.0859249388227188,-0.9999999999999767,dynamic_structure,stop_loss,0.9974999999999636,4.098518759744508,-3.4137022576866864,-3.193933698013648,DOWN,SELL,0.7231534386289661,False,67220.70996326448,-0.008304355657138556,NONE,0.0,66403.991125,0.5,False,50.0,False,False,66438.4
2026-03-01 11:05:00+00:00,2026-03-01 11:05:00+00:00,2026-03-01 11:10:00+00:00,2026-03-01 11:20:00+00:00,LONG,LONG,4.25,"['delta_strong_positive', 'cvd_strong_positive', 'aggressive_buyers', 'big_trade_buy']",66484.7,66567.80587499999,24.750624999998173,PARTIAL+TRAIL,3,10.0,0.9223174655221602,0.16003682050150647,0.4999999999999629,dynamic_structure,trailing_stop,0.9974999999999636,0.23305575905152684,2.832697949409894,3.500560028688794,UP,BUY,5.437083110817914,True,67102.96873593489,-0.002549092966593908,NONE,0.0,66567.80587499999,0.5,True,50.0,False,True,66510.4
2026-03-02 02:05:00+00:00,2026-03-02 02:05:00+00:00,2026-03-02 02:10:00+00:00,2026-03-02 02:10:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",66145.8,66145.8,0.0,LOSS,1,1.0,1.8341300581442987,0.05140160070631846,0.0,dynamic_structure,trailing_stop,0.9974999999999636,1.3889618101113475,-2.68760251640343,-2.4798250539077293,DOWN,SELL,0.505231387185235,False,66427.61782093406,0.0019493101038703996,NONE,0.0,65629.7,3.1209842499448537,False,50.0,True,True,65629.7
2026-03-02 06:15:00+00:00,2026-03-02 06:15:00+00:00,2026-03-02 06:20:00+00:00,2026-03-02 06:20:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",66197.1,66197.1,0.0,LOSS,1,1.0,1.1003503174610718,0.3450302203570323,0.0,dynamic_structure,trailing_stop,0.9974999999999636,2.6777264120333357,-2.695365388213822,-2.423016609716881,DOWN,SELL,0.5758815220623557,False,66508.47325512764,-0.0064676136103467025,NONE,0.0,66071.0,0.7619669139585015,False,50.0,True,True,66071.0
2026-03-02 07:05:00+00:00,2026-03-02 07:05:00+00:00,2026-03-02 07:10:00+00:00,2026-03-02 07:20:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",65634.1,65552.057375,24.812501562500568,PARTIAL+TRAIL,3,10.0,0.762408565059966,0.7624085650598774,0.5000000000000113,dynamic_structure,trailing_stop,0.9974999999999636,3.119176968371475,-3.174839322990238,-2.768083780261411,DOWN,SELL,0.5060266613593003,False,66444.91620208607,-0.013368763626247704,NONE,0.0,65552.057375,0.5,True,50.0,False,True,65574.7
2026-03-02 11:55:00+00:00,2026-03-02 11:55:00+00:00,2026-03-02 12:00:00+00:00,2026-03-02 12:15:00+00:00,LONG,LONG,3.25,"['cvd_strong_positive', 'aggressive_buyers', 'big_trade_buy', 'above_vwap']",66329.8,66163.9755,-49.74906563281325,LOSS,4,15.0,0.23699754861315975,1.1331256840817172,-1.0000000000000147,dynamic_structure,stop_loss,0.9993593907031026,-0.5392301016947143,1.3971517369023432,1.5685204366416465,UP,BUY,2.487873860669629,True,66299.66580326472,0.0024915792839550178,NONE,0.0,66412.71225,0.5,False,50.0,False,False,66368.5
2026-03-03 02:00:00+00:00,2026-03-03 02:00:00+00:00,2026-03-03 02:05:00+00:00,2026-03-03 02:25:00+00:00,SHORT,SHORT,-4.75,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'big_trade_sell', 'below_vwap']",68547.5,68343.0,59.07037019468606,PARTIAL+TRAIL,5,20.0,2.3656588497027267,0.7288376673109548,1.193333090192932,dynamic_structure,trailing_stop,0.9993593907031026,3.9977876413555427,-3.1724024094729417,-2.670954935282671,DOWN,SELL,0.6345537122236725,True,68853.76706793802,-0.006114353568050972,NONE,0.0,68343.0,1.1933330901929318,True,50.0,True,True,68343.0
2026-03-03 04:45:00+00:00,2026-03-03 04:45:00+00:00,2026-03-03 04:50:00+00:00,2026-03-03 05:05:00+00:00,SHORT,SHORT,-4.25,"['delta_strong_negative', 'cvd_strong_negative', 'aggressive_sellers', 'below_vwap']",68067.9,68238.06975,-49.79567215562215,LOSS,4,15.0,0.39313685305404855,1.4426770915512306,-1.0000000000000053,dynamic_structure,stop_loss,0.9993593907031026,3.5686150017450946,-3.7895065196470634,-3.6244438063378444,DOWN,SELL,0.39929123247369125,False,68588.49484077079,-0.006598701648280231,NONE,0.0,67982.815125,0.5,False,50.0,False,False,68044.0
